"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0090066","GO:0090066","regulation of anatomical structure size",268,0.457467185108463,1.68381456156411,6.96746163605176e-05,0.00560498308185757,0.00510322818338571,1235,"tags=29%, list=15%, signal=26%","CCL21/SLC12A1/NEB/ATP1A2/SLC12A3/RET/GJA5/CCR7/LMOD1/KCNMB1/FOXC2/COMP/IL7R/FGG/FGA/EDN1/ACTA2/CAV1/PRKG1/SLIT2/SEMA3E/MYADM/FGF13/HRH2/LRRC8A/SOD3/DOCK5/FN1/MAP1B/FHOD3/ATG5/WNT5A/SHANK3/FGB/KCNMA1/GSN/FOXC1/CORO1A/GCLM/ITGA1/CDC42EP3/PTK2B/MSN/GCLC/BAG4/DSTN/F2R/DAAM2/RUFY3/SVIL/FER/PER2/CFL2/F2RL1/DBN1/ELN/DIP2B/SWAP70/VASP/LRRK2/RAB21/ASXL1/BMPR2/DPYSL2/ARHGAP28/CTTN/PLEKHG2/SLC12A4/VAV2/HTR1D/ULK1/MMP2/SCIN/SNX9/VAV1/DMTN/SEMA5A/SLC26A5/FLII"
"GO:0006875","GO:0006875","cellular metal ion homeostasis",282,0.448107587546261,1.66037131748036,6.93202495707246e-05,0.00560498308185757,0.00510322818338571,831,"tags=21%, list=10%, signal=20%","CACNA1S/CACNA1A/SAA1/ATP12A/CALB2/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/MT2A/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/RYR3/CACNB2/IL1A/GIPR/EDN1/HEPH/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/CCL19/CACNA1C/ATP1B2/KCNMA1/PRKD1/SLC39A14/CCL14/CORO1A/PTK2B/KCNJ2/ATP7B/TTC7A/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0050801","GO:0050801","ion homeostasis",380,0.42189967119458,1.59703363064415,7.10146541060063e-05,0.00560498308185757,0.00510322818338571,831,"tags=19%, list=10%, signal=18%","CACNA1S/CACNA1A/SLC4A1/SAA1/ATP12A/SLC34A2/CALB2/CCL21/SLC12A1/ATP1A2/SLC12A3/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/MT2A/SLC4A10/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/SLC4A11/RYR3/CACNB2/IL1A/GIPR/EDN1/CORIN/HEPH/CA12/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/SFRP4/RASA3/WNT5A/CCL19/CACNA1C/SCN7A/ATP1B2/CA2/KCNMA1/PRKD1/SLC39A14/CCL14/CORO1A/PTK2B/KCNJ2/ATP7B/TTC7A/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/WNK2/CNNM2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0055082","GO:0055082","cellular chemical homeostasis",392,0.419851624662446,1.59278865340801,6.58710392887276e-05,0.00560498308185757,0.00510322818338571,954,"tags=20%, list=12%, signal=19%","CACNA1S/CACNA1A/SLC4A1/SAA1/ATP12A/SLC34A2/CALB2/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/IRS2/ABCC8/CD19/MT2A/SLC4A10/DMD/CACNA1F/ATP13A4/CACNA1B/ANO1/AKAP6/PRKCB/SLC4A11/RYR3/CACNB2/IL1A/GIPR/EDN1/HEPH/CAV1/ATP2B4/ABCA12/FGF2/LRRC8A/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/CCL19/CACNA1C/ATP1B2/CA2/KCNMA1/PRKD1/SLC39A14/CCL14/CORO1A/GCLM/PTK2B/KCNJ2/GCLC/ATP7B/TTC7A/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1/SLC4A3/GPLD1/SWAP70/MT1X/CACNA1D/ICAM1/LRRK2/JAK3"
"GO:0045087","GO:0045087","innate immune response",377,-0.355672996365384,-1.52061588167553,7.12950996208297e-05,0.00560498308185757,0.00510322818338571,971,"tags=18%, list=12%, signal=17%","IRF1/IFIH1/CYBA/CD84/CFH/ADAR/CCL20/TRIM14/PARP9/IRF5/IFIT3/KYNU/LGR4/HSP90AA1/IFNAR2/CH25H/STAT1/CASP6/IFI27/C5/ASS1/BST2/PLA2G2F/CD74/CCL5/CASP1/FCER1G/FCGR3A/HAVCR2/IGLL5/PVR/MST1R/LGALS9/APOE/TYROBP/PRKDC/MED1/VSIG4/RIPK2/TRIM31/FFAR2/C1QC/C1QA/UBD/FCGR1A/CCL24/OAS1/ANG/GBP4/APOL1/CCL4/S100A9/C1QB/C2/SLAMF7/LTF/TRIM17/PIK3CG/CCL18/CARD9/FASLG/C4B/CCL23/LCN2/S100A8/SERPINB4/S100A7/DMBT1"
"GO:0007599","GO:0007599","hemostasis",124,0.545853961551233,1.82637559876457,7.293672228402e-05,0.00564004129530692,0.00513514800550132,1287,"tags=37%, list=16%, signal=32%","SLC4A1/SAA1/HBB/F3/BLK/SERPINA1/COMP/SERPINE1/FGG/FGA/EDN1/MYL9/CAV1/FLNA/PRKG1/CSRP1/MMRN1/FN1/AXL/DGKH/F8/THBD/DGKA/FGB/ITGA2/FAP/CD34/STXBP1/F2R/ILK/F2RL1/VCL/PRKCA/TLN1/GNA12/VAV2/MYH9/CD40/THBS1/CD9/FLI1/VAV1/DMTN/ENTPD1/PAPSS2/PIK3CA"
"GO:0006261","GO:0006261","DNA-templated DNA replication",91,-0.525504106362322,-1.87181772874663,8.69872604182441e-05,0.00661804689343318,0.00602560309858125,2353,"tags=53%, list=28%, signal=38%","CDK2/E2F7/BRCA2/DDX21/CDK2AP1/DDX11/POLA1/TERF2/SAMHD1/MCM2/RRM2B/LIG1/NOC3L/FEN1/TIMELESS/MMS22L/DDX23/MCM10/GEN1/PRIM1/LIG3/SSBP1/RECQL/SLFN11/MCM7/CHTF8/RFC4/GINS1/CDC6/RRM1/WDHD1/RECQL4/ATAD5/E2F8/CDT1/FBXO5/BLM/MCM6/MCM3/CDC7/TICRR/DSCC1/MCM4/NBN/DONSON/DBF4/ZMPSTE24/CCNE2"
"GO:0055065","GO:0055065","metal ion homeostasis",326,0.436863083987484,1.63569576976619,9.66041512358896e-05,0.00723304414888399,0.00658554614941403,831,"tags=20%, list=10%, signal=19%","CACNA1S/CACNA1A/SAA1/ATP12A/CALB2/CCL21/SLC12A1/ATP1A2/SLC12A3/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/MT2A/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/RYR3/CACNB2/IL1A/GIPR/EDN1/CORIN/HEPH/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/CCL19/CACNA1C/SCN7A/ATP1B2/KCNMA1/PRKD1/SLC39A14/CCL14/CORO1A/PTK2B/KCNJ2/ATP7B/TTC7A/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/CNNM2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0098771","GO:0098771","inorganic ion homeostasis",374,0.425771625328933,1.60883859719523,9.93860178018636e-05,0.00732506009330298,0.00666932487880927,831,"tags=19%, list=10%, signal=18%","CACNA1S/CACNA1A/SLC4A1/SAA1/ATP12A/SLC34A2/CALB2/CCL21/SLC12A1/ATP1A2/SLC12A3/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/MT2A/SLC4A10/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/RYR3/CACNB2/IL1A/GIPR/EDN1/CORIN/HEPH/CA12/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/SFRP4/RASA3/WNT5A/CCL19/CACNA1C/SCN7A/ATP1B2/CA2/KCNMA1/PRKD1/SLC39A14/CCL14/CORO1A/PTK2B/KCNJ2/ATP7B/TTC7A/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/CNNM2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0003007","GO:0003007","heart morphogenesis",133,0.519813782635333,1.75348930681539,0.000104246391079962,0.00756508041114123,0.00688785871427116,1071,"tags=32%, list=13%, signal=28%","TTN/ACTC1/LRP2/COL11A1/GJA5/FOXC2/EDN1/PKP2/FLNA/SLIT2/TPM1/FOXF1/JAG1/ZFPM2/COL5A1/WNT5A/MICAL2/NRP2/GJA1/HEG1/DSP/TGFB1/DLL4/FOXC1/ACVRL1/BMP7/SFRP2/CRKL/RYR2/LY6E/ILK/TGFBR2/BMP2/INSR/ADAMTS1/ELN/MEF2C/ROBO2/ASXL1/BMPR2/YAP1/DCHS1"
"GO:0043010","GO:0043010","camera-type eye development",159,0.513061345482695,1.76956771596416,0.000108513729684453,0.00764778548044038,0.00696316007279309,1245,"tags=30%, list=15%, signal=26%","IGFN1/RET/FGF10/FOXC2/ACHE/ATP8A2/NTRK2/INHBA/EGFR/CRYAB/LAMC3/FRS2/COL8A1/ATP2B4/CDKN1C/ZEB1/CYP1A1/FBN2/FGF2/JAG1/COL4A1/WNT5A/CACNA1C/SHROOM2/GJA1/DLL4/FOXC1/LAMB2/NHS/ALDH1A3/ACVRL1/FJX1/BMP7/OBSL1/MAF/TGFBR2/PDGFRB/FZR1/BMPR2/GLI3/SKI/MITF/LAMA1/TGFBR1/SKIL/WDR19/GRHL2/SPRED1"
"GO:0006873","GO:0006873","cellular ion homeostasis",328,0.431249902196333,1.6154152082047,0.000109345895070094,0.00764778548044038,0.00696316007279309,831,"tags=20%, list=10%, signal=19%","CACNA1S/CACNA1A/SLC4A1/SAA1/ATP12A/SLC34A2/CALB2/CCL21/ATP1A2/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/MT2A/SLC4A10/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/SLC4A11/RYR3/CACNB2/IL1A/GIPR/EDN1/HEPH/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/CCL19/CACNA1C/ATP1B2/CA2/KCNMA1/PRKD1/SLC39A14/CCL14/CORO1A/PTK2B/KCNJ2/ATP7B/TTC7A/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0098542","GO:0098542","defense response to other organism",483,-0.337985664387048,-1.46759067345576,0.000110250034485891,0.00764778548044038,0.00696316007279309,925,"tags=17%, list=11%, signal=16%","CYBA/CD84/CFH/ADAR/CCL20/IFI44L/TRIM14/PARP9/RNF213/C5AR1/IRF5/IFIT3/KYNU/LGR4/HSP90AA1/IFNAR2/CH25H/STAT1/CASP6/IFI27/C5/ASS1/IL10RB/IFNE/CCDC88B/BST2/PLA2G2F/CD74/CCL5/CASP1/FCER1G/FCGR3A/HAVCR2/IGLL5/PVR/KCNJ8/MST1R/LGALS9/APOE/TYROBP/BATF2/PRKDC/MED1/VSIG4/RIPK2/TRIM31/FFAR2/ZNF175/C1QC/C1QA/UBD/IRF4/FCGR1A/LYZ/CCL24/OAS1/ACP5/ANG/GSDMB/GBP4/ZMPSTE24/APOL1/CCL4/SLFN13/S100A9/C1QB/C2/SLAMF7/LTF/TRIM17/PIK3CG/CCL18/CARD9/FASLG/C4B/CCL23/LCN2/CD36/S100A8/GSDMC/PLA2G2A/SERPINB4/S100A7/DMBT1"
"GO:0055010","GO:0055010","ventricular cardiac muscle tissue morphogenesis",25,0.762246835919037,1.93811765851818,0.000113533709505053,0.00765055011050478,0.00696567721474611,750,"tags=52%, list=9%, signal=47%","LRP2/COL11A1/FOXC2/PKP2/TPM1/ZFPM2/HEG1/DSP/TGFB1/DLL4/FOXC1/RYR2/LY6E"
"GO:0001654","GO:0001654","eye development",179,0.489358632024247,1.71555546060779,0.000113395190716798,0.00765055011050478,0.00696567721474611,1245,"tags=29%, list=15%, signal=25%","IGFN1/RET/FGF9/FGF10/FOXC2/ACHE/ATP8A2/NTRK2/INHBA/EGFR/CRYAB/LAMC3/FRS2/COL8A1/ATP2B4/CDKN1C/ZEB1/CYP1A1/FBN2/FGF2/JAG1/COL5A1/COL4A1/WNT5A/CACNA1C/SHROOM2/GJA1/DLL4/FOXC1/LAMB2/NHS/ALDH1A3/ACVRL1/FJX1/BMP7/OBSL1/MAF/TGFBR2/COL5A2/PDGFRB/FZR1/BMPR2/GLI3/SKI/MITF/ABCB5/LAMA1/TGFBR1/SKIL/WDR19/GRHL2/SPRED1"
"GO:0048738","GO:0048738","cardiac muscle tissue development",111,0.56073768242306,1.85508716759775,0.000129510130592766,0.00848471230563993,0.00772516568448075,962,"tags=35%, list=12%, signal=31%","TTN/ACTC1/LRP2/NEB/FGF9/JPH2/MYH11/COL11A1/GJA5/FOXC2/AKAP6/EDN1/PKP2/FRS2/TPM1/FGF2/FHOD3/ZFPM2/ATG5/WNT5A/PDLIM5/GJA1/HEG1/DSP/TGFB1/DLL4/FOXC1/BMP7/OBSL1/RYR2/LY6E/PLEC/AKAP13/TGFBR2/BMP2/MEF2C/TENM4/SGCB/PDGFRB"
"GO:0001525","GO:0001525","angiogenesis",303,0.446701511480247,1.66419104477965,0.000128089443612793,0.00848471230563993,0.00772516568448075,1288,"tags=34%, list=16%, signal=30%","F3/FGF9/HMGA2/GJA5/ABCC8/FGF10/STAB2/FOXC2/CDH13/SERPINE1/FGF1/PRKCB/IL1A/EDN1/SULF1/CCBE1/CALD1/ITGA5/COL4A3/HDAC9/CAV1/FLNA/CREB3L1/COL8A1/SLIT2/ATP2B4/SEMA3E/CARD10/PIK3CD/THSD7A/FGF2/COL4A2/FN1/JAG1/COL4A1/AMOTL2/IL1B/COL15A1/WNT5A/ECM1/NRP2/THBS2/ARHGAP24/ENPEP/LOXL2/PRKD1/PRKX/DLL4/FOXC1/HSPG2/UNC5B/ETS1/ACVRL1/PTK2B/PTPRB/FAP/CD34/SRPX2/SPHK1/SFRP2/COL18A1/FLT4/ALOX5/ANXA3/ITGB8/TGFBR2/JAM3/ITGAV/ADAMTS1/GPLD1/HYAL1/PTGIS/PRKCA/PDGFRB/SPARC/ARHGAP22/ELK3/MMP14/CXCR4/EMILIN1/TNFAIP3/VAV2/PLXDC1/PLCG1/SPINK5/MYH9/CD40/MMP2/FMNL3/THBS1/STARD13/AMOTL1/TGFBR1/AMOT/CDH5/SEMA5A/SPRED1/GAB1/PLCD3/MCAM/RUNX1/PIK3CA/ANXA1"
"GO:0051208","GO:0051208","sequestering of calcium ion",72,0.612546056059305,1.9127262568292,0.000132139731244452,0.00853839879835729,0.00777404619289641,813,"tags=33%, list=10%, signal=30%","CCL21/ATP1A2/JPH2/CASQ2/CCR7/CD19/DMD/AKAP6/RYR3/FGF2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ATP7B/ANK2/F2R/RYR2/ANXA6"
"GO:0007596","GO:0007596","blood coagulation",121,0.546367788526602,1.82307723412223,0.000136077793418429,0.00867403988587475,0.00789754476738538,1287,"tags=37%, list=16%, signal=32%","SLC4A1/SAA1/HBB/F3/BLK/SERPINA1/COMP/SERPINE1/FGG/FGA/EDN1/MYL9/CAV1/FLNA/PRKG1/CSRP1/MMRN1/FN1/AXL/DGKH/F8/THBD/DGKA/FGB/ITGA2/FAP/CD34/STXBP1/F2R/ILK/F2RL1/VCL/PRKCA/TLN1/GNA12/VAV2/MYH9/CD40/THBS1/CD9/VAV1/DMTN/ENTPD1/PAPSS2/PIK3CA"
"GO:0030155","GO:0030155","regulation of cell adhesion",431,0.406508229148999,1.5570983267175,0.000168475627656298,0.0105959938087301,0.00964744646789749,1294,"tags=30%, list=16%, signal=26%","SAA1/B4GALNT2/CCL21/RET/BLK/CD24/CCR7/ZBTB16/FOXC2/IL7R/CDH13/SERPINE1/FGG/FSTL3/FGA/IL1A/PRLR/GLI2/ITGA5/CAV1/FLNA/PDE5A/PRKG1/NPNT/COL8A1/ADAM19/ABCA12/LAMA3/SEMA3E/MYADM/MMRN1/TPM1/EPHA3/VTCN1/IDO1/FOXF1/DOCK5/FN1/JAG1/KIF26B/TGM2/IL1B/WNT5A/CCL19/PHLDB2/TNC/CD209/FGB/TGFB1/LMO7/PRKX/ITGA2/ITGA3/CORO1A/CR1/ETS1/ACVRL1/PTK2B/COL16A1/CELSR2/DOCK1/BMP7/MAP4K4/FERMT2/SFRP2/IGF2/BAG4/FYN/ALOX5/CRKL/LIF/LAMA5/PLXNA2/PLEKHA2/ABI3BP/ADAM9/PLXNA1/ILK/PRNP/TGFBR2/EPHA4/JAM3/ITGAV/BMP2/VCL/CYTH3/HYAL1/SWAP70/LGALS1/ACER2/TESC/JAK3/PRKCA/ATM/AKNA/RASAL3/JAG2/GLI3/MMP14/CXCR4/LRRC32/EMILIN1/NFAT5/NLRP3/ITGA4/IL2RA/SPINK5/SLAMF1/DUSP1/PPP1R12A/NID1/MMP2/FCGR2B/PTPRC/PKD1/THBS1/CD9/VAV1/ARG2/DMTN/SEMA5A/FLCN/RIN2/CD80/RUNX1/PIK3CA/ANXA1/NEDD9"
"GO:0030199","GO:0030199","collagen fibril organization",39,0.712821881819804,2.0138797671815,0.000176616973074619,0.0108734930237839,0.00990010411100684,1311,"tags=64%, list=16%, signal=54%","COL11A1/MMP11/FOXC2/COMP/LOXL4/AEBP1/BMP1/COL5A1/COL12A1/DDR2/ADAMTS2/PXDN/LOXL2/FOXC1/SFRP2/FMOD/COL1A2/FKBP10/COL5A2/EMILIN1/CRTAP/TGFBR1/TNXB/RB1/EFEMP2"
"GO:0045785","GO:0045785","positive regulation of cell adhesion",254,0.460241173348492,1.68070208000563,0.000177498190127488,0.0108734930237839,0.00990010411100684,1311,"tags=33%, list=16%, signal=29%","SAA1/CCL21/RET/CD24/CCR7/ZBTB16/FOXC2/IL7R/CDH13/FGG/FSTL3/FGA/IL1A/GLI2/ITGA5/CAV1/FLNA/NPNT/COL8A1/ADAM19/MYADM/MMRN1/TPM1/VTCN1/FOXF1/DOCK5/FN1/KIF26B/TGM2/IL1B/WNT5A/CCL19/CD209/FGB/ITGA2/ITGA3/CORO1A/CR1/ETS1/PTK2B/COL16A1/DOCK1/BMP7/MAP4K4/FERMT2/SFRP2/IGF2/BAG4/FYN/ALOX5/CRKL/LIF/PLEKHA2/ABI3BP/ADAM9/ILK/TGFBR2/EPHA4/ITGAV/CYTH3/HYAL1/LGALS1/JAK3/PRKCA/ATM/RASAL3/GLI3/EMILIN1/NFAT5/NLRP3/ITGA4/IL2RA/SLAMF1/NID1/PTPRC/VAV1/DMTN/FLCN/RIN2/CD80/RUNX1/PIK3CA/ANXA1/NEDD9/EFEMP2"
"GO:0051209","GO:0051209","release of sequestered calcium ion into cytosol",67,0.623898830677277,1.94215854331534,0.000182504342724777,0.0110368331363176,0.0100488221095424,745,"tags=33%, list=9%, signal=30%","CCL21/ATP1A2/JPH2/CASQ2/CCR7/CD19/DMD/AKAP6/RYR3/FGF2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ANK2/F2R/RYR2"
"GO:0060537","GO:0060537","muscle tissue development",189,0.491048565386219,1.72780447663931,0.000197557980896249,0.0117959619732608,0.0107399941646462,1311,"tags=34%, list=16%, signal=29%","TTN/ACTC1/LRP2/NEB/FGF9/JPH2/MYH11/COL11A1/GJA5/COL19A1/FOXC2/DMD/AKAP6/EDN1/MYLK/PKP2/HDAC9/CAV1/ITGA8/FRS2/CSRP1/TPM1/FGF2/FHOD3/ZFPM2/ATG5/WNT5A/PDLIM5/GJA1/HEG1/DSP/TGFB1/DLL4/FOXC1/BMP7/ITGA7/IGF2/OBSL1/RYR2/CNTNAP1/LY6E/SVIL/PLEC/AKAP13/TGFBR2/CFL2/BMP2/ELN/MEF2C/TENM4/SGCB/PDGFRB/SKI/YAP1/GPC1/PKD2/TGFBR1/MEF2A/HOPX/SMAD5/RB1/FLCN/RUNX1/EFEMP2"
"GO:0090092","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",129,0.528228912445343,1.78131657547384,0.0002128746356522,0.0125516207046428,0.0114280067560655,1262,"tags=33%, list=15%, signal=29%","LRP2/FGF9/FGF10/FST/RBPMS2/PEG10/FSTL3/LTBP4/INHBA/SULF1/CAV1/ITGA8/NPNT/CDKN1C/ZEB1/FBN2/DKK3/SFRP4/WNT5A/LATS2/TGFB1/ASPN/PMEPA1/ITGA3/ACVRL1/BMP7/SFRP2/HTRA1/ILK/TGFBR2/BMP2/RBPMS/FSTL1/CRIM1/BMPR2/SKI/EMILIN1/THBS1/TGFBR1/SKIL/CDH5/SPRED1/FLCN"
"GO:0043269","GO:0043269","regulation of ion transport",285,0.43764959580814,1.61736285325872,0.000227835706773619,0.0132679139364341,0.012080177825034,807,"tags=23%, list=10%, signal=22%","CACNA1S/CACNA1A/CACNA2D2/FGF14/ATP1A2/CAMK2A/JPH2/CASQ2/CAMK2B/DPP10/ABCC8/CACNA2D3/CNTN1/CD19/FHL1/KCNMB1/DMD/CACNA1F/CACNA1B/AKAP6/KCND3/PRKG2/CACNB2/IL1A/KCNQ5/EDN1/MYLK/PKP2/CAV1/FLNA/CACNA1H/FXYD6/ATP2B4/FGF13/IL16/KCNC4/FCRL3/KCNJ15/TPCN2/TRPC1/ATG5/IL1B/SFRP4/CACNA1C/SHANK3/SCN7A/ATP1B2/CA2/KCNMA1/GPD1L/KCNE4/PRKD1/CORO1A/PTK2B/KCNJ2/ANK2/STXBP1/F2R/FYN/RYR2/WNK2/KCNS3/PER2/PRNP/ATP2A1/SLC6A1"
"GO:0034765","GO:0034765","regulation of ion transmembrane transport",209,0.473803336189298,1.68739717913591,0.00023750979439221,0.0136626060993665,0.0124395373699643,798,"tags=25%, list=10%, signal=23%","CACNA1S/CACNA1A/CACNA2D2/FGF14/ATP1A2/JPH2/CASQ2/DPP10/ABCC8/CACNA2D3/CD19/FHL1/KCNMB1/DMD/CACNA1F/CACNA1B/AKAP6/KCND3/CACNB2/KCNQ5/EDN1/CAV1/FLNA/CACNA1H/FXYD6/ATP2B4/FGF13/KCNC4/KCNJ15/TPCN2/TRPC1/ATG5/CACNA1C/SHANK3/SCN7A/ATP1B2/KCNMA1/GPD1L/KCNE4/PRKD1/CORO1A/PTK2B/KCNJ2/ANK2/F2R/FYN/RYR2/WNK2/KCNS3/PER2/PRNP/ATP2A1"
"GO:0055001","GO:0055001","muscle cell development",87,0.585076705944962,1.88538755558627,0.000251978009779285,0.0143202442425167,0.0130383041204754,1015,"tags=36%, list=12%, signal=32%","TTN/ACTC1/NEB/MYH11/FLNC/OBSCN/LMOD1/MYH3/COMP/DMD/AKAP6/EDN1/MYL9/HDAC9/CSRP1/TPM1/FHOD3/ATG5/ACTN1/PDLIM5/ANK2/OBSL1/CNTNAP1/PLEC/AKAP13/CFL2/CHRNB1/DYSF/SGCB/PDGFRB/SKI"
"GO:0002009","GO:0002009","morphogenesis of an epithelium",298,0.43356757112629,1.60849312826507,0.000257504813627474,0.0144601214985809,0.0131656596441114,1152,"tags=28%, list=14%, signal=25%","FLG2/LRP2/LGR5/RET/FGF10/FOXC2/KRT6A/FST/KRT17/FGF1/EGFR/EDN1/SULF1/GLI2/ITGA5/FLNA/FRS2/NPNT/SLIT2/SIX2/LAMA3/SEMA3E/PIK3CD/CELSR1/FGF2/AJUBA/FOXF1/JAG1/KIF26B/COL5A1/COL4A1/TGM2/WNT5A/MICAL2/PHLDB2/TNC/KRT10/ARHGAP24/DACT1/GJA1/CA2/TGFB1/PRKX/DLL4/ANKRD6/ALDH1A3/ACVRL1/TP63/CELSR2/MSN/BMP7/DAAM1/FERMT2/SFRP2/LIF/LAMA5/RYR2/FRZB/PLXNA1/ILK/TGFBR2/EPHA4/BMP2/GREB1L/FZD3/VCL/MEF2C/VASP/JAG2/GLI3/MMP14/SKI/CXCR4/YAP1/PRICKLE2/DCHS1/LAMA1/MMP2/PKD2/PKD1/STARD13/TRAF3IP1"
"GO:0007229","GO:0007229","integrin-mediated signaling pathway",71,0.602904351012865,1.88339139368785,0.00026538974255786,0.0147275695958285,0.0134091659397655,1294,"tags=46%, list=16%, signal=40%","ITGA11/ITGA5/ITGA8/FLNA/LAMA3/ITGA6/TIMP1/ITGA9/FN1/DST/PRKD1/ITGA2/ITGA3/ITGA1/PTK2B/COL16A1/DOCK1/FERMT2/ITGA7/LAMA5/ITGBL1/ADAM9/ITGB8/ILK/ITGAV/ADAMTS1/TLN1/ITGB4/ITGA4/MYH9/VAV1/DMTN/NEDD9"
"GO:0071363","GO:0071363","cellular response to growth factor stimulus",357,0.410403799077983,1.54911564899116,0.000275223075743873,0.0150956656777192,0.0137443102697063,1290,"tags=27%, list=16%, signal=24%","LRP2/FGF9/NTRK3/FGF10/FST/COMP/RBPMS2/NTRK2/FGF1/PEG10/PRKCB/FSTL3/LTBP4/EGFR/EDN1/SULF1/CCBE1/ITGA5/FLT3/CAV1/ITGA8/CREB3L1/FRS2/NPNT/SLIT2/ATP2B4/CDKN1C/ZEB1/FAM83G/PIK3CD/FBN2/FGF2/DKK3/COL4A2/MAP1B/LTBP2/IL1B/SFRP4/WNT5A/NRP2/LATS2/FGFR1/TGFB1/ASPN/PRKD1/DLL4/ZFYVE9/FOXC1/PMEPA1/ITGA3/CORO1A/GCLM/ACVRL1/BMP7/FERMT2/GCLC/SPHK1/SFRP2/FMOD/BAG4/FLT4/FYN/CRKL/HTRA1/COL1A2/ADAM9/ITGB8/ILK/TGFBR2/BMP2/INSR/HYAL1/MEF2C/ZDHHC17/FSTL1/PDGFRB/CRIM1/BMPR2/SKI/LRRC32/EMILIN1/PTPN12/GPC1/NR3C1/PLCG1/LRIT3/THBS1/TGFBR1/SKIL/CDH5/SMAD5/SPRED1/GAB1/FNTA/FLCN/PIK3CA/ANXA1/PPP2R5B"
"GO:0055080","GO:0055080","cation homeostasis",369,0.417454097473182,1.57572890203167,0.000281569048825962,0.0152662207277248,0.0138995973286137,831,"tags=19%, list=10%, signal=18%","CACNA1S/CACNA1A/SLC4A1/SAA1/ATP12A/CALB2/CCL21/SLC12A1/ATP1A2/SLC12A3/MS4A1/JPH2/CASQ2/GRIN2A/CD24/CCR7/CD19/MT2A/SLC4A10/DMD/CACNA1F/ATP13A4/CACNA1B/AKAP6/PRKCB/SLC4A11/RYR3/CACNB2/IL1A/GIPR/EDN1/CORIN/HEPH/CAV1/ATP2B4/FGF2/TPCN2/TRPC1/ATG5/TGM2/RASA3/WNT5A/CCL19/CACNA1C/SCN7A/ATP1B2/CA2/KCNMA1/PRKD1/SLC39A14/CCL14/CORO1A/PTK2B/KCNJ2/ATP7B/TTC7A/ANK2/ATP2A3/SLC39A13/F2R/FYN/RYR2/CNNM2/PRNP/ATP2A1/CDH23/ANXA6/ITGAV/F2RL1"
"GO:0051282","GO:0051282","regulation of sequestering of calcium ion",68,0.619686329706115,1.93073375818596,0.000297201112811106,0.0157516589789886,0.0143415794236465,1141,"tags=40%, list=14%, signal=35%","CCL21/ATP1A2/JPH2/CASQ2/CCR7/CD19/DMD/AKAP6/RYR3/FGF2/TPCN2/TRPC1/ATG5/RASA3/CCL19/CACNA1C/PRKD1/CORO1A/PTK2B/ANK2/F2R/RYR2/ANXA6/PLCG1/PTPRC/CAPN3/PKD2"
